???"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID","COLUMN_COMMENT"
"ACCESSORIAL_RATE_VIEW","BASE_AMOUNT","NUMBER","22","14","3","Y","35",""
"ACCESSORIAL_RATE_VIEW","CHARGE_PER_X_FIELD1","NUMBER","22","14","3","Y","36",""
"ACCESSORIAL_RATE_VIEW","CHARGE_PER_X_FIELD2","NUMBER","22","14","3","Y","37",""
"ACCESSORIAL_RATE_VIEW","BASE_CHARGE","NUMBER","22","","","Y","38",""
"ACCESSORIAL_RATE_VIEW","RANGE_MAX_AMOUNT","NUMBER","22","14","3","Y","39",""
"ACCESSORIAL_RATE_VIEW","RANGE_MIN_AMOUNT","NUMBER","22","14","3","Y","40",""
"ACCESSORIAL_RATE_VIEW","MIN_RATE_TYPE","NUMBER","22","","","Y","41",""
"ACCESSORIAL_RATE_VIEW","MAXIMUM_RATE","NUMBER","22","","","Y","42",""
"ACCESSORIAL_RATE_VIEW","AMOUNT","NUMBER","22","","","Y","43",""
"ACCESSORIAL_RATE_VIEW","CUSTOMER_RATE","NUMBER","22","","","Y","44",""
"ACCESSORIAL_RATE_VIEW","CUSTOMER_MIN_CHARGE","NUMBER","22","","","Y","45",""
"ACCESSORIAL_RATE_VIEW","CALCULATED_RATE","NUMBER","22","","","Y","46",""
"ACCESSORIAL_RATE_VIEW","PACKAGE_TYPE_ID","NUMBER","22","","","Y","47",""
"ACCESSORIAL_RATE_VIEW","OPTION_GROUP_ID","NUMBER","22","","","Y","48",""
"ACCESSORIAL_RATE_VIEW","OPTION_GROUP_DESC","VARCHAR2","200","","","Y","49",""
"ACCESSORIAL_RATE_VIEW","MIN_LONGEST_DIMENSION","NUMBER","22","","","Y","50",""
"ACCESSORIAL_RATE_VIEW","MAX_LONGEST_DIMENSION","NUMBER","22","","","Y","51",""
"ACCESSORIAL_RATE_VIEW","MIN_SECOND_LONGEST_DIMENSION","NUMBER","22","","","Y","52",""
"ACCESSORIAL_RATE_VIEW","MAX_SECOND_LONGEST_DIMENSION","NUMBER","22","","","Y","53",""
"ACCESSORIAL_RATE_VIEW","MIN_THIRD_LONGEST_DIMENSION","NUMBER","22","","","Y","54",""
"ACCESSORIAL_RATE_VIEW","MAX_THIRD_LONGEST_DIMENSION","NUMBER","22","","","Y","55",""
"ACCESSORIAL_RATE_VIEW","MIN_WEIGHT","NUMBER","22","","","Y","56",""
"ACCESSORIAL_RATE_VIEW","MAX_WEIGHT","NUMBER","22","","","Y","57",""
"ACCESSORIAL_RATE_VIEW","MIN_LENGTH_PLUS_GRITH","NUMBER","22","","","Y","58",""
"ACCESSORIAL_RATE_VIEW","MAX_LENGTH_PLUS_GRITH","NUMBER","22","","","Y","59",""
"ACCESSORIAL_RATE_VIEW","BILLING_METHOD","NUMBER","22","","","Y","60",""
"ACCESSORIAL_RATE_VIEW","INCREMENT_VAL","NUMBER","22","","","Y","61",""
"ACCESSORIAL_RATE_VIEW","ORM_TYPE","VARCHAR2","4","","","Y","62",""
"ACCESSORIAL_RATE_VIEW","ORM_OPERATOR","VARCHAR2","4","","","Y","63",""
"ACCESSORIAL_RATE_VIEW","ORM_OFSET","VARCHAR2","36","","","Y","64",""
"ACCESSORIAL_RATE_VIEW","COMMODITY_CODE_ID","NUMBER","22","","","Y","65",""
"ACCESSORIAL_RATE_VIEW","MAX_RANGE_COMMODITY_CODE_ID","NUMBER","22","","","Y","66",""
"ACCESSORIAL_RATE_VIEW","ORIGIN_ZONE","NUMBER","22","8","0","Y","67",""
"ACCESSORIAL_RATE_VIEW","DESTINATION_ZONE","NUMBER","22","8","0","Y","68",""
"ACCESSORIAL_RATE_VIEW","STOPOFF_ZONE","NUMBER","22","8","0","Y","69",""
"ACTION_TYPE","ACTION_TYPE","VARCHAR2","8","","","N","1","Describes the action type of a Shipment at Stop"
"ACTION_TYPE","DESCRIPTION","VARCHAR2","80","","","N","2","Description"
"ACTIVITY_TYPE","ACTIVITY_TYPE_ID","NUMBER","22","12","0","N","1","Internal id for each activity"
"ACTIVITY_TYPE","TC_COMPANY_ID","NUMBER","22","9","0","N","2","Company ID"
"ACTIVITY_TYPE","ACTIVITY_NAME","VARCHAR2","200","","","N","3","Activity Name"
"ACTIVITY_TYPE","CREATED_SOURCE_TYPE","NUMBER","22","2","0","N","4","Created Source Type - Audit Field"
"ACTIVITY_TYPE","CREATED_SOURCE","VARCHAR2","200","","","N","5","Created Source - Audit Field"
"ACTIVITY_TYPE","CREATED_DTTM","TIMESTAMP(6)","11","","6","N","6","Created Date Time - Audit Field"
"ACTIVITY_TYPE","LAST_UPDATED_SOURCE_TYPE","NUMBER","22","2","0","N","7","Last Updated Source Type - Audit field"
"ACTIVITY_TYPE","LAST_UPDATED_SOURCE","VARCHAR2","200","","","N","8","Last Updated Source - Audit field"
"ACTIVITY_TYPE","LAST_UPDATED_DTTM","TIMESTAMP(6)","11","","6","N","9","Last Updated Date Time - Audit field"
"ACTIVITY_TYPE","ACTIVITY_DESC","VARCHAR2","400","","","Y","10","Activity Description"
"ACTIVITY_TYPE","IS_DRIVING","NUMBER","22","1","0","Y","11","Flag to determine the Driving state of a Driver"
"ACTIVITY_TYPE","IS_DAILY_DUTY","NUMBER","22","1","0","Y","12","Flag to determine if it's a daily duty for Driver or not"
"ACTIVITY_TYPE","IS_WEEKLY_DUTY","NUMBER","22","1","0","Y","13","Flag to determine if it's a weekly duty for Driver"
"ACTIVITY_TYPE","IS_RESTING","NUMBER","22","1","0","Y","14","Flag to determine the Resting state of a Driver"
"ACTIVITY_TYPE","REQUIRES_REASON_CODE","NUMBER","22","1","0","Y","15","Flag to identify if reason code is required during de-brief"
"ACTIVITY_TYPE","MARK_FOR_DELETION","NUMBER","22","1","0","N","16","Flag for soft delete"
"ACTIVITY_TYPE","BASE_ACTIVITY_TYPE_ID","NUMBER","22","2","0","N","17","Internal id for various static Activity Types"
"ADJUSTMENT_REASON_CONFIG","ADJUSTMENT_REASON_CONFIG_ID","NUMBER","22","9","0","N","1",""
"ADJUSTMENT_REASON_CONFIG","TC_COMPANY_ID","NUMBER","22","9","0","N","2",""
"ADJUSTMENT_REASON_CONFIG","FACILITY_ID","NUMBER","22","9","0","N","3",""
"ADJUSTMENT_REASON_CONFIG","REASON_CODE","VARCHAR2","24","","","N","4",""
"ADJUSTMENT_REASON_CONFIG","PERMISSION_CODE","VARCHAR2","64","","","Y","5",""
"ADJUSTMENT_REASON_CONFIG","TRANSACTION_ID","NUMBER","22","9","0","N","6",""
"ADJUSTMENT_REASON_CONFIG","WM_VERSION_ID","NUMBER","22","9","0","N","7",""
"ADJUSTMENT_REASON_CONFIG","CREATED_SOURCE_TYPE","NUMBER","22","9","0","Y","8",""
"ADJUSTMENT_REASON_CONFIG","CREATED_SOURCE","VARCHAR2","200","","","Y","9",""
"ADJUSTMENT_REASON_CONFIG","CREATED_DTTM","TIMESTAMP(6)","11","","6","Y","10","Created on Date and Time"
"ADJUSTMENT_REASON_CONFIG","LAST_UPDATED_SOURCE_TYPE","NUMBER","22","9","0","Y","11",""
"ADJUSTMENT_REASON_CONFIG","LAST_UPDATED_SOURCE","VARCHAR2","200","","","Y","12",""
"ADJUSTMENT_REASON_CONFIG","LAST_UPDATED_DTTM","TIMESTAMP(6)","11","","6","Y","13","Last Updated on Date and Time"
"AI_MASTER","AI","VARCHAR2","16","","","N","1","The standard Application Identifier"
"AI_MASTER","AI_TITLE","VARCHAR2","160","","","Y","2","Describes what information is associated with the AI."
"AI_MASTER","STRING_FORMAT_TYPE","VARCHAR2","8","","","Y","3","Number or Alphanumeric. Sys Code S675"
"AI_MASTER","STRING_LEN","NUMBER","22","3","0","N","4","The length the data string can/will be (depending on string length type)"
"AI_MASTER","STRING_LEN_TYPE","VARCHAR2","4","","","Y","5","Defines if the length of the string is fixed, variable with length specified, or variable with a field separator. Sys Code S674"
"AI_MASTER","DECIMAL_INDICATOR","NUMBER","22","1","0","N","6","A 0/1 flag that indicates if the last digit in the AI is the number of decimal places in the value."
"AI_MASTER","CALC_CHK_DIGIT_FLAG","NUMBER","22","1","0","N","7","A 0/1 flag that defines whether or not to perform the check digit calculations and validations"
"AI_MASTER","INC_CHK_DIGIT_FLAG","NUMBER","22","1","0","N","8","A 0/1 flag that defines whether or not to include the check digit in the value"
"AI_MASTER","AI_UOM","VARCHAR2","4","","","Y","9","Unit of measure associated with the application identifier"
"AI_MASTER","CREATE_DATE_TIME","TIMESTAMP(6)","11","","6","Y","10","Date & Time of record creation"
"AI_MASTER","MOD_DATE_TIME","TIMESTAMP(6)","11","","6","Y","11","Date & Time of record modification"
"AI_MASTER","USER_ID","VARCHAR2","200","","","Y","12","The WMS user ID of the user who last modified this record"
"AI_MASTER","WM_VERSION_ID","NUMBER","22","9","0","N","13","Version control key for the table (internal DB reference only)"
"AI_MASTER","AI_MASTER_ID","NUMBER","22","9","0","N","14","Surrogate key for the table (internal DB reference only)"
"AI_MASTER","CREATED_DTTM","TIMESTAMP(6)","11","","6","N","15","Created on Date and Time"
"AI_MASTER","LAST_UPDATED_DTTM","TIMESTAMP(6)","11","","6","Y","16","Last Updated on Date and Time"
"AI_TRAN_CONFIG","TRAN_GRP","VARCHAR2","60","","","N","1","The Task Group (TRAN_MASTER.TASK_GROUP) of the transaction that contains the EAN barcode functionality"
"AI_TRAN_CONFIG","AI","VARCHAR2","16","","","N","2","The application identifier that could be scanned in the transaction"
"AI_TRAN_CONFIG","DATA_MODE","NUMBER","22","1","0","N","3","Defines the way the captured data will be treated. Sys Code S673. Valid values are: ?Default? (0) - If the user is prompted for that data in that transaction, default this value in that field and a"
"AI_TRAN_CONFIG","CREATE_DATE_TIME","TIMESTAMP(6)","11","","6","Y","4","Date & Time of record creation"
"AI_TRAN_CONFIG","MOD_DATE_TIME","TIMESTAMP(6)","11","","6","Y","5","Date & Time of record modification"
"AI_TRAN_CONFIG","USER_ID","VARCHAR2","200","","","Y","6","The WMS user ID of the user who last modified this record"
"AI_TRAN_CONFIG","WM_VERSION_ID","NUMBER","22","9","0","N","7","Version control key for the table (internal DB reference only)"
"AI_TRAN_CONFIG","AI_MASTER_ID","NUMBER","22","9","0","Y","8","Surrogate key for the table (internal DB reference only)"
"AI_TRAN_CONFIG","AI_TRAN_CONFIG_ID","NUMBER","22","9","0","N","9","Surrogate key for the table (internal DB reference only)"
"AI_TRAN_CONFIG","CREATED_DTTM","TIMESTAMP(6)","11","","6","N","10","Created on Date and Time"
"AI_TRAN_CONFIG","LAST_UPDATED_DTTM","TIMESTAMP(6)","11","","6","Y","11","Last Updated on Date and Time"
"ALLOC_INVN_DTL","ALLOC_INVN_DTL_ID","NUMBER","22","9","0","N","1","Unique Surrogate Key"
"ALLOC_INVN_DTL","WHSE","VARCHAR2","12","","","N","2","The WMS Warehouse for which this record was created."
"ALLOC_INVN_DTL","INVN_TYPE","VARCHAR2","4","","","Y","3","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","PROD_STAT","VARCHAR2","12","","","Y","4","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","BATCH_NBR","VARCHAR2","800","","","Y","5","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","SKU_ATTR_1","VARCHAR2","200","","","Y","6","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","SKU_ATTR_2","VARCHAR2","200","","","Y","7","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","SKU_ATTR_3","VARCHAR2","200","","","Y","8","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","SKU_ATTR_4","VARCHAR2","200","","","Y","9","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","SKU_ATTR_5","VARCHAR2","200","","","Y","10","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","CNTRY_OF_ORGN","VARCHAR2","16","","","Y","11","Define sub-sku attribues of the allocation.Attributes used to update allocated and pulled attributes"
"ALLOC_INVN_DTL","ALLOC_INVN_CODE","NUMBER","22","2","0","N","12","0 = Shortage 1 = Case 2 = Inbound Pallet 3 = Reserve Locn 4 = Active Locn 5 = Case Pick Locn 6 = Transitional inventory 7 = Carton 8 = Outbound Pallet"
"ALLOC_INVN_DTL","CNTR_NBR","VARCHAR2","200","","","Y","13","Container Number. Can have Case_nbr or Pallet_nbr. Applicable only for alloc_invn_code = 1 or 2."
"ALLOC_INVN_DTL","TRANS_INVN_TYPE","NUMBER","22","3","0","N","14","Applicable only for alloc_invn_code = 6. Specifies Tran. Invn WMS allocated."
"ALLOC_INVN_DTL","PULL_LOCN_ID","VARCHAR2","40","","","Y","15","Specifies Locn. WM Allocated From."
"ALLOC_INVN_DTL","INVN_NEED_TYPE","NUMBER","22","3","0","N","16","Code which links the invn_need_Type table to the allocation. This table sepcifies the tasking updates for the inventory. -1=All"
"ALLOC_INVN_DTL","TASK_TYPE","VARCHAR2","8","","","Y","17","Used in tasking w/ the int to defines who is eligbale for a task and what programs to call in tasking."
"ALLOC_INVN_DTL","TASK_PRTY","NUMBER","22","5","0","N","18","Defines relative task priority. -1=All"
"ALLOC_INVN_DTL","TASK_BATCH","VARCHAR2","24","","","Y","19","Passed into pulling. Pulling uses for selecting a pull task."
"ALLOC_INVN_DTL","ALLOC_UOM","VARCHAR2","4","","","Y","20","Defines Alloc UOM used in allocation. U=Units, B=Bundles, K=Packs, C=Cases, P=Pallets. Refer Sys code B-597"
"ALLOC_INVN_DTL","ALLOC_UOM_QTY","NUMBER","22","9","2","N","21","The # of allocation UOM's allocated"
"ALLOC_INVN_DTL","QTY_PULLD","NUMBER","22","13","5","N","22","Sepcifies the Qty processed through task completion."
"ALLOC_INVN_DTL","FULL_CNTR_ALLOCD","VARCHAR2","4","","","Y","23","This is a flag (Y/N). Will be Y when a case or pallet of mixed Item is allocated in its entirety. ITEM_ID will be the ITEM that triggered a need, but this flag will be Y signifying that the entire"
"ALLOC_INVN_DTL","ORIG_REQMT","NUMBER","22","13","5","N","24","Sepcifies orignal Qty requested."
"ALLOC_INVN_DTL","QTY_ALLOC","NUMBER","22","13","5","N","25","Sepcifies qty actually allocated."
